iter	Passed	Remaining
0	175	175527
1	176	88218
2	177	59049
3	178	44455
4	179	35726
5	180	29897
6	181	25712
7	182	22576
8	183	20160
9	185	18368
10	187	16877
11	188	15551
12	189	14404
13	190	13425
14	191	12573
15	192	11822
16	193	11161
17	193	10572
18	194	10045
19	195	9573
20	196	9145
21	198	8816
22	200	8531
23	201	8204
24	202	7903
25	203	7624
26	204	7367
27	205	7122
28	206	6904
29	207	6697
30	207	6501
31	208	6313
32	209	6139
33	210	5977
34	212	5850
35	213	5720
36	215	5619
37	216	5492
38	217	5367
39	218	5248
40	219	5135
41	220	5028
42	221	4926
43	222	4827
44	223	4733
45	224	4647
46	226	4588
47	228	4537
48	229	4458
49	230	4381
50	231	4308
51	232	4235
52	233	4167
53	234	4100
54	234	4035
55	235	3975
56	236	3915
57	237	3858
58	238	3803
59	241	3790
60	243	3748
61	245	3712
62	246	3663
63	247	3617
64	248	3570
65	249	3524
66	250	3482
67	250	3439
68	251	3399
69	252	3358
70	253	3317
71	255	3289
72	257	3270
73	258	3234
74	259	3198
75	260	3163
76	261	3130
77	262	3098
78	263	3070
79	264	3039
80	265	3008
81	266	2979
82	266	2946
83	267	2918
84	268	2890
85	271	2880
86	272	2863
87	274	2845
88	275	2819
89	276	2793
90	277	2768
91	278	2743
92	278	2720
93	279	2695
94	280	2672
95	281	2649
96	282	2627
97	283	2607
98	286	2609
99	287	2591
100	288	2572
101	289	2551
102	290	2530
103	291	2510
104	292	2491
105	293	2471
106	294	2454
107	295	2437
108	295	2419
109	296	2402
110	299	2395
111	300	2383
112	303	2378
113	303	2361
114	304	2344
115	305	2328
116	306	2310
117	307	2294
118	307	2279
119	308	2263
120	309	2249
121	310	2233
122	311	2218
123	312	2210
124	315	2206
125	316	2193
126	316	2178
127	317	2165
128	318	2152
129	319	2138
130	320	2126
131	321	2113
132	322	2100
133	322	2087
134	323	2074
135	324	2062
136	325	2050
137	326	2038
138	329	2039
139	330	2030
140	333	2031
141	334	2020
142	335	2010
143	336	1999
144	337	1988
145	338	1977
146	338	1966
147	339	1955
148	340	1944
149	341	1936
150	343	1932
151	345	1925
152	346	1915
153	346	1905
154	347	1895
155	348	1885
156	349	1875
157	350	1865
158	350	1855
159	351	1846
160	352	1835
161	352	1825
162	353	1816
163	354	1807
164	355	1798
165	357	1794
166	358	1786
167	360	1783
168	361	1776
169	362	1767
170	362	1759
171	364	1752
172	364	1744
173	365	1736
174	366	1728
175	367	1719
176	368	1711
177	368	1703
178	369	1696
179	370	1689
180	373	1690
181	374	1685
182	375	1677
183	376	1670
184	377	1662
185	378	1655
186	378	1647
187	379	1640
188	380	1633
189	381	1626
190	382	1618
191	383	1612
192	383	1605
193	384	1599
194	387	1597
195	432	1774
196	434	1770
197	437	1773
198	439	1768
199	440	1762
200	442	1757
201	443	1751
202	444	1745
203	445	1738
204	446	1731
205	447	1726
206	450	1724
207	452	1722
208	455	1722
209	456	1717
210	458	1713
211	459	1709
212	461	1703
213	462	1697
214	463	1691
215	465	1690
216	468	1688
217	469	1682
218	470	1676
219	471	1670
220	472	1664
221	473	1658
222	474	1651
223	475	1645
224	475	1639
225	476	1632
226	477	1626
227	479	1622
228	480	1618
229	483	1617
230	484	1613
231	485	1607
232	486	1600
233	487	1595
234	488	1588
235	488	1582
236	489	1576
237	490	1570
238	491	1564
239	492	1558
240	493	1554
241	495	1553
242	496	1547
243	497	1542
244	498	1536
245	499	1530
246	500	1524
247	500	1519
248	501	1513
249	502	1507
250	503	1502
251	504	1496
252	505	1491
253	505	1485
254	506	1480
255	508	1477
256	510	1474
257	512	1472
258	513	1470
259	514	1465
260	518	1469
261	519	1464
262	520	1459
263	521	1453
264	522	1448
265	523	1445
266	526	1444
267	527	1439
268	527	1434
269	528	1429
270	529	1424
271	530	1419
272	531	1414
273	532	1410
274	533	1405
275	534	1401
276	535	1396
277	535	1391
278	536	1386
279	537	1382
280	540	1381
281	542	1380
282	543	1375
283	543	1370
284	544	1366
285	545	1362
286	546	1357
287	547	1353
288	548	1349
289	549	1344
290	550	1340
291	550	1335
292	551	1331
293	553	1329
294	555	1328
295	556	1323
296	557	1319
297	558	1315
298	559	1310
299	560	1306
300	561	1302
301	561	1298
302	562	1294
303	563	1290
304	564	1285
305	565	1281
306	566	1277
307	566	1273
308	569	1273
309	570	1270
310	573	1270
311	574	1266
312	575	1262
313	576	1258
314	576	1254
315	577	1250
316	578	1246
317	579	1242
318	580	1238
319	581	1235
320	582	1232
321	585	1232
322	586	1228
323	587	1225
324	587	1221
325	588	1217
326	589	1213
327	590	1209
328	591	1205
329	592	1202
330	592	1198
331	593	1194
332	594	1190
333	595	1187
334	596	1183
335	599	1185
336	601	1183
337	603	1181
338	603	1177
339	604	1173
340	605	1170
341	606	1166
342	607	1162
343	607	1159
344	608	1155
345	609	1152
346	610	1148
347	611	1144
348	612	1143
349	614	1141
350	615	1138
351	616	1134
352	617	1131
353	618	1127
354	618	1124
355	619	1120
356	620	1117
357	621	1114
358	622	1110
359	622	1107
360	623	1103
361	624	1100
362	625	1097
363	626	1094
364	627	1092
365	629	1090
366	631	1088
367	631	1085
368	632	1081
369	633	1078
370	634	1075
371	635	1072
372	636	1069
373	637	1066
374	637	1063
375	638	1059
376	639	1056
377	640	1053
378	642	1053
379	644	1051
380	645	1048
381	646	1045
382	647	1042
383	647	1039
384	648	1036
385	649	1033
386	650	1030
387	651	1027
388	652	1024
389	653	1021
390	654	1018
391	654	1015
392	658	1016
393	660	1015
394	662	1014
395	663	1012
396	664	1009
397	666	1007
398	666	1004
399	667	1001
400	668	998
401	669	996
402	672	995
403	674	995
404	675	992
405	676	989
406	677	986
407	678	983
408	678	980
409	679	977
410	680	975
411	681	972
412	682	969
413	682	966
414	683	963
415	684	960
416	687	960
417	689	959
418	691	959
419	692	956
420	693	953
421	694	951
422	695	949
423	696	946
424	697	943
425	698	940
426	699	938
427	700	936
428	703	936
429	704	933
430	705	931
431	706	928
432	706	925
433	707	923
434	708	920
435	709	918
436	710	915
437	711	912
438	712	910
439	713	907
440	713	904
441	714	902
442	716	901
443	718	899
444	720	898
445	721	895
446	722	893
447	722	890
448	723	888
449	724	885
450	725	882
451	726	880
452	726	877
453	727	875
454	728	872
455	729	869
456	731	869
457	733	868
458	734	865
459	735	863
460	736	860
461	736	858
462	737	855
463	738	853
464	739	850
465	740	848
466	740	845
467	741	843
468	742	840
469	743	838
470	744	835
471	745	833
472	746	831
473	748	830
474	750	829
475	751	826
476	751	824
477	752	822
478	754	820
479	754	817
480	755	815
481	756	812
482	757	810
483	758	808
484	758	805
485	761	804
486	763	804
487	764	801
488	765	799
